genes	logFC	FDR	fact	stage	dnds	avr_exp	avr_exp_f	avr_exp_m
TCM_00162	-0.090141329	0.956852284	Not DE	hatch	0.053	53.40099083	63.89408883	70.00404506
TCM_00163	-0.246793287	0.786011497	Not DE	hatch	0.2004	15.20052774	19.72937223	23.72137122
TCM_00164	0.162867129	0.940045456	Not DE	hatch	0.8583	10.27448586	11.55861228	10.73497416
TCM_00165	0.430891051	0.640034592	Not DE	hatch	0.0653	241.8216118	259.4748852	199.2405715
TCM_00166	-0.226728272	0.840250029	Not DE	hatch	0.2765	22.35342197	21.07288367	25.46383608
TCM_00167	0.279306823	0.762597062	Not DE	hatch	0.0711	486.9476558	528.1903443	447.6629603
TCM_00168	-0.107948379	0.892619356	Not DE	hatch	0.0221	94.37557394	90.49504345	99.5889397
TCM_00169	0.29944524	0.758902373	Not DE	hatch	0.4274	10.55140169	11.99749217	10.00188457
TCM_00170	-0.062213976	0.948168844	Not DE	hatch	0.001	34.52374682	32.79087791	34.80750112
TCM_00171	0.432459352	0.760695319	Not DE	hatch	0.0894	15.85333049	31.14937502	23.6619544
TCM_00172	0.023702832	0.991237463	Not DE	hatch	0.1211	30.62676074	31.52276966	31.35002357
TCM_00173	-0.077029064	0.950319955	Not DE	hatch	0.001	64.48998866	57.40671922	61.56159959
TCM_00174	0.122027695	0.88155272	Not DE	hatch	0.6211	47.78887458	41.88218062	39.15656856
TCM_00175	0.167127121	0.849048945	Not DE	hatch	0.0333	154.7883365	176.8163249	161.6071374
TCM_00176	0.075694403	0.950319955	Not DE	hatch	0.2301	13.29611468	11.08593487	10.77752466
TCM_00177	-0.047863819	0.967644328	Not DE	hatch	0.0602	11.48182806	16.70626816	17.50687845
TCM_00178	-0.1030935	0.942785623	Not DE	hatch	NA	25.15424583	43.47263455	46.95660834
TCM_00179	-0.088107274	0.958649396	Not DE	hatch	0.1043	63.0142678	98.303926	104.4594058
TCM_00264	-0.167580466	0.887731039	Not DE	hatch	NA	452.0677804	190.7183654	220.0563654
TCM_00265	0.510314234	0.627449756	Not DE	hatch	NA	83.642678	22.26035141	15.9714142
TCM_00267	-0.277544696	0.862611702	Not DE	hatch	0.0979	9.105881157	1.537730147	1.862949469
TCM_00268	0.605914078	0.591026869	Not DE	hatch	1.6515	41.20510872	51.41195675	34.37073375
TCM_00269	0.427057949	0.726135602	Not DE	hatch	NA	175.5968745	230.3875547	176.8197523
TCM_00270	0.175480018	0.828278024	Not DE	hatch	0.254	223.0245719	289.8743167	263.7192438
TCM_00271	0.297487991	0.744010908	Not DE	hatch	0.2232	68.36900996	65.6235993	54.42709701
TCM_00272	-0.02108819	0.991266972	Not DE	hatch	0.001	26.8883581	20.57390159	21.42032425
TCM_00273	-0.390170154	0.708957158	Not DE	hatch	0.092	8.965770123	12.15595448	16.12166514
TCM_00274	0.077186317	0.95330964	Not DE	hatch	0.1626	14.95064697	19.0451305	18.43029291
TCM_00275	0.04916464	0.97617263	Not DE	hatch	0.0162	21.88076835	26.82312011	26.47029047
TCM_00276	-0.03634451	0.982603224	Not DE	hatch	0.6156	44.47063464	44.62370708	46.49015678
TCM_00277	-0.048103837	0.971742016	Not DE	hatch	0.4494	4.720914996	5.379226498	5.721162448
TCM_00278	0.045038461	0.968794099	Not DE	hatch	0.0676	468.0400095	480.0277606	479.1004243
TCM_00279	0.233981799	0.838462867	Not DE	hatch	NA	68.99220316	76.33144756	66.9525828
TCM_00280	0.124955892	0.884598073	Not DE	hatch	0.3579	81.42782953	91.61395668	86.19542389
TCM_00281	-0.473440083	0.74461756	Not DE	hatch	NA	5.185216479	8.97130103	12.55115656
TCM_00282	-0.426495303	0.713564941	Not DE	hatch	0.0268	19.88873655	34.34309179	46.57659837
TCM_00283	-0.195933648	0.879316872	Not DE	hatch	NA	10.45988017	16.8728693	19.28339795
TCM_00284	-0.252383724	0.845488684	Not DE	hatch	NA	35.10621999	35.5201834	43.31444688
TCM_00285	-0.011738485	0.995052869	Not DE	hatch	0.4812	14.25167437	12.38785786	12.76431407
TCM_00286	0.206989261	0.913270339	Not DE	hatch	0.3695	22.80053069	25.83160012	22.3183338
TCM_00287	0.1022056	0.947501124	Not DE	hatch	0.072	5.847622052	10.09320234	9.625744748
TCM_00288	-0.242999862	0.882860981	Not DE	hatch	NA	14.99017241	16.49337617	19.3896081
TCM_00289	-0.296910136	0.77988398	Not DE	hatch	NA	47.93785604	55.41714665	68.85189721
TCM_00290	-0.114585902	0.958649396	Not DE	hatch	0.026	15.68787463	15.60948327	16.91418218
TCM_00291	0.170750341	0.857530067	Not DE	hatch	NA	36.40909813	60.47780575	54.69997371
TCM_00292	0.015511695	0.996501828	Not DE	hatch	NA	23.91752859	45.06273773	47.00655295
TCM_00293	0.014222869	0.994169171	Not DE	hatch	0.0186	62.18402883	71.29672368	72.08709085
TCM_00294	0.001044501	0.999356938	Not DE	hatch	0.028	327.1344596	384.0097989	395.4044607
TCM_00295	-0.463380087	0.773597367	Not DE	hatch	0.3959	12.32428225	11.97193644	17.14099513
TCM_00296	-0.02082422	0.994844021	Not DE	hatch	0.001	528.944557	449.6730044	474.0669944
TCM_00297	0.425951337	0.721557566	Not DE	hatch	0.653	69.22867443	88.52746925	67.16097684
TCM_00298	0.335355212	0.713564941	Not DE	hatch	0.2839	65.98291782	61.1737119	49.03757937
TCM_00299	-0.808539853	0.695223125	Not DE	hatch	0.2082	7.548409211	8.370922059	14.358577
TCM_00300	0.300663602	0.849048945	Not DE	hatch	NA	126.1353084	201.9155868	169.6344832
TCM_00301	-0.331994135	0.789188541	Not DE	hatch	0.106	8.702086082	12.37346101	15.62485745
